var_1,var_2,coef,pval
i5ap,House seats,-0.130721765,0.328034417
i5ap,Senate seats,-0.031842316,0.812435712
i5pr,i5re,-0.252453359,0.05589308
i5pr,i5op,0.086067935,0.520614328
i5pr,i5th,0.499771111,6.49E-05
i5pr,i5pu,0.173755558,0.192088887
i5pr,p1,0.144409162,0.279462496
i5pr,p2,0.056612622,0.672950477
i5pr,p3,0.107644927,0.421227047
i5pr,p4,0.538036189,1.33E-05
i5pr,p5,-0.503023934,5.71E-05
i5pr,House seats,0.058778017,0.661187134
i5pr,Senate seats,-0.056610263,0.672963336
i5re,i5op,0.044654791,0.739252251
i5re,i5th,-0.096635072,0.470527211
i5re,i5pu,0.17513968,0.188517107
i5re,p1,-0.262708905,0.046335542
i5re,p2,-0.161938475,0.224566444
i5re,p3,-0.248098942,0.060407176
i5re,p4,-0.400295162,0.001848822
i5re,p5,0.440559793,0.000538152
i5re,House seats,0.157690867,0.237122869
i5re,Senate seats,0.135404942,0.310849139
i5op,i5th,0.202622733,0.127157306
i5op,i5pu,0.109769537,0.412065283
i5op,p1,-0.106607705,0.425741662
i5op,p2,-0.102041132,0.445941928
i5op,p3,-0.179616368,0.177291638
i5op,p4,0.160904113,0.227580671
i5op,p5,-0.080785184,0.54661833
i5op,House seats,0.105032868,0.432648559
i5op,Senate seats,0.074123282,0.5802777
i5th,i5pu,0.264824501,0.044540951
i5th,p1,-0.060927791,0.649588616
i5th,p2,-0.091687379,0.493650806
i5th,p3,-0.220125605,0.096840456
i5th,p4,0.610587823,3.59E-07
i5th,p5,-0.497597511,7.07E-05
i5th,House seats,-0.168372947,0.206438755
i5th,Senate seats,-0.071821768,0.592121684
i5pu,p1,-0.438052024,0.000583777
i5pu,p2,-0.470780508,0.000191858
i5pu,p3,-0.354196969,0.006375653
i5pu,p4,0.273237843,0.037959635
i5pu,p5,-0.153634535,0.249556691
i5pu,House seats,0.023618012,0.860310931
i5pu,Senate seats,-0.101776246,0.447129715
p1,p2,0.905952088,1.46E-22
p1,p3,0.778383241,6.42E-13
p1,p4,0.27051641,0.03999416
p1,p5,-0.433401505,0.000677758
p1,House seats,0.11090517,0.407215737
p1,Senate seats,-0.001028286,0.993887693
p2,p3,0.491233899,9.02E-05
p2,p4,0.175427002,0.187781675
p2,p5,-0.262660237,0.046377512
p2,House seats,-0.02147064,0.872901258
p2,Senate seats,-0.045658321,0.733606915
p3,p4,0.098947779,0.459921578
p3,p5,-0.362917703,0.005112128
p3,House seats,0.330725423,0.011222414
p3,Senate seats,0.067558,0.614343917
p4,p5,-0.952807587,1.13E-30
p4,House seats,-0.112544407,0.400274345
p4,Senate seats,-0.154458643,0.246995368
p5,House seats,0.01427767,0.915285752
p5,Senate seats,0.117569117,0.379432632
House seats,Senate seats,0.460118499,0.000279103
